id,avtor
Charleton_Carter_(Earth-616),Steve Ditko

Charlie_Burke_(Earth-616),Jack Kirby

Charlie_Duff_(Earth-616),Paul Reinman

Charlie_Harris_(Earth-616),Jack Kirby

Charlie_Wilkes_(Earth-616),Don Heck

Chen_Lu_(Earth-616),Robert Bernstein

Chen_Lu_(Earth-616),Jack Kirby

Chet_Brinkley_(Earth-616),Don Heck

Chet_Huntley_(Earth-616),Steve Ditko

Cheyarafim,Chuck Austen

Cheyarafim,Jack Kirby

Chips_Brant_(Earth-616),Al Avison

Cho_Sak_(Earth-616),Jack Kirby

Chrysler_Building,Jack Kirby

Chuck_Dawson_(Earth-616),Jack Kirby

Chuda_(Earth-616),Jack Kirby

Chung_Liuchow_(Earth-616),Jack Kirby

Circle_of_the_Seraphim,Marie Severin

Circus_of_Crime_(Earth-616),Joe Simon

Circus_of_Crime_(Earth-616),Jack Kirby

Circus_of_Crime_(Earth-616),Dick Ayers

Circus_of_Crime_(Old_West)_(Earth-616),Jack Keller

Claire_Gideon_(Earth-616),Jack Kirby

Clarence_Snippe_(Earth-616),Lin Streeter

Clay_Rockwell_(Earth-616),Jack Kirby

Clea_(Earth-616),Steve Ditko

Clem_Carter_(Earth-616),Jack Kirby

Cletus_Hondo_(Earth-616),Dick Ayers

Cliff_Carter_(Earth-616),Al Hartley

Clifton,Gene Colan

Clinton_Barton_(Earth-616),Don Heck

Clive_Bentley_(Earth-616),Steve Ditko

Cloak_of_Levitation,Steve Ditko

Cockroach_(Earth-77013),Larry Lieber

Coffee_A_Go-Go,Jack Kirby

Coffee_Pot,John Buscema

Colonel_Hendershoot_(Earth-616),Jack Kirby

Colonel_Stevens_(Earth-616),Bruce Timm

Colossus_(Super_Computer)_(Earth-60672),Jack Kirby

Colossus_(Vegan)_(Earth-616),Dick Ayers

Commissar_(Android)_(Earth-616),Don Heck

Connors_Formula,Steve Ditko

Contra-Power_Ray,Herb Trimpe

Cosmic-Beam_Gun,Jack Kirby

Cosmic_Cube,Jack Kirby

Cosmic_Tribunal_(Earth-71016),John Romita Jr.

Crang_(Earth-616),Steve Ditko

Crash_Carter_(Earth-616),Al Hartley

Crater_Isle,Jack Kirby

Crawling_Creature_(Earth-616),Jack Kirby

Creatures_(Kosmos),Jack Kirby

Creatures_(Kosmos),Ernest Hart

Creature_from_Krangro_(Earth-616),Jack Kirby

Creature_from_Krogarr_(Earth-616),Jack Kirby

Creature_from_the_Black_Bog_(Earth-616),Steve Ditko

Creyton_House,Larry Lieber

Creyton_House,Jack Kirby

Crimson_Bands_of_Cyttorak,Steve Ditko

Crimson_Circle_of_Cyttorak,Steve Ditko

Crimson_Crystals_of_Cyttorak,Marie Severin

Crimson_Dynamo_Armor_Mark_I,Robert Bernstein

Crimson_Dynamo_Armor_Mark_I,Don Heck

Crow_Mallon_(Earth-616),Paul Reinman

Cro_(Earth-616),Jack Kirby

Crusher_(Agent_of_Pluto)_(Earth-616),Jack Kirby

Crusher_Clark_(Earth-77013),John Romita

Crypto-Man_(Earth-616),Jack Kirby

Crystalia_Amaquelin_(Earth-616),Jack Kirby

Curtis_(Earth-616),Jack Kirby

Curtis_(Earth-616),Jay Gavin

Curtis_Connors_(Earth-616),Steve Ditko

Curtis_Connors_(Earth-77013),Larry Lieber

Cutza_(Earth-616),Jack Kirby

Cyborg_(Earth-616),Gene Colan

Cyclo-Electronic_Chamber,Jack Kirby

Cyclopes,Larry Lieber

Cyclopes,Don Heck

Cyclops%27_Visor,Jack Kirby

Cyclops_(A-Chiltarian_Robot)_(Earth-616),H.E. Huntley

Cyclops_(A-Chiltarian_Robot)_(Earth-616),Don Heck

Cyclops_(Mutate)_(Earth-616),Jack Kirby

Cyclops_(Mysterio%27s_Robots)_(Earth-616),Steve Ditko

Cyrus_Wolfe_(Earth-616),Al Hartley

D%27bari,Jack Kirby

Dack_(Earth-928),Paul Ryan

Daily_Bugle_Building,Jack Kirby

Dakkamites,John Buscema

Dancer_(Earth-616),Gene Colan

Danger_Room,Jack Kirby

Daniel_Brito_(Earth-616),Steve Ditko

Daniel_Damian_(Earth-616),Jack Kirby

Danny_Denton_(Earth-616),Harry Anderson

Danny_Dream_(Earth-616),Al Hartley

Danny_Slade_(Earth-616),Joe Maneely

Dan_Carter_(Earth-616),Jack Kirby

Dan_Durant_(Earth-616),Don Heck

Dan_Harper_(Earth-616),Jack Kirby

Dara_Dorset_(Earth-77013),Larry Lieber

Daredevil%27s_Billy_Club,Bill Everett

Daredevil%27s_Suit,Bill Everett

Dark_Dimension,Steve Ditko

Dark_Sea_(Asgard),Jack Kirby

Darryl_Williams_(Earth-616),Jack Kirby

Davey_Jones_(Earth-616),Stan lee

Davey_Jones_(Earth-616),Don Heck

David_Banner_(Earth-400005),Jack Kirby

David_Banner_(Earth-400005),Kenneth Johnson

David_Brinkley_(Earth-616),John Romita Sr.

David_Cannon_(Earth-616),Jack Kirby

Daydra_(Earth-616),Herb Trimpe

Deacon_(Criminal)_(Earth-616),Jack Kirby

Dead_Man%27s_Lake,Jack Kirby

Dean_Corliss_(Earth-616),Steve Ditko

Dean_Corliss_(Earth-616),John Romita Sr.

Dean_Mencken_(Earth-616),Jack Kirby

Deep-Sea_Fungus_(Earth-616),Jack Kirby

Della_Mason_(Earth-616),Lin Streeter

Demolisher_(Charles)_(Earth-77013),Larry Lieber

Demonicus_(Mordo%27s_Apprentice)_(Earth-616),Steve Ditko

Demon_of_the_Diamonds_(Earth-616),Gene Colan

Demon_of_the_Mask_(Earth-616),Steve Ditko

Demon_Riders_(Mogul_Servants)_(Earth-616),Jack Kirby

Derek_Derleth_(Earth-77013),Larry Lieber

Derrick_Dawes_(Earth-616),Mike Sekowsky

Destroyer_(Enchanted_Armor),Jack Kirby

Destructon_(Earth-616),Jack Kirby

Deviant_Mutates_(Deviant_Experiments),Jack Kirby

Deviant_Mutates_(Monstrous_Deviants),Jack Kirby

Deviant_Skrulls,Jack Kirby

Devil_Flats,Jack Kirby

Diamond_Head_(Earth-616),Gene Colan

Diamond_Head_(Earth-616),John Romita

Diane_Cummings_(Earth-616),Jack Kirby

Diane_Cummings_(Earth-616),Dick Ayers

Diane_Van_Lark_(Earth-616),Stan Goldberg

Dimension_of_Dreams,Steve Ditko

Dino_Manelli_(Earth-616),Jack Kirby

Dionysus_Acratophorus_(Earth-616),Ken Bald

Dionysus_Acratophorus_(Earth-616),Jack Kirby

Dirk_Collins_(Earth-616),Don Heck

Dirk_Garthwaite_(Earth-616),Jack Kirby

Disintegrator,Steve Ditko

Dmitri_Gregorin_(Earth-77013),Larry Lieber

Dmitri_Smerdyakov_(Earth-616),Steve Ditko

Doctor_Doom%27s_Armor,Jack Kirby

Doctor_Doom%27s_Castle_(Upstate_New_York),Jack Kirby

Doctor_Eternity_(Earth-616),Al Avison

Doctor_Molinari_(Earth-616),Jack Kirby

Doctor_Octopus%27_Tentacles,Steve Ditko

Doctor_Parker_(Earth-616),Jack Kirby

Doctor_Smithson_(Earth-77013),Larry Lieber

Doctor_Thaxton_(Earth-616),Gerry Conway

Doctor_Thaxton_(Earth-616),John Romita

Doctor_Van_Eyck_(Earth-616),Wally Wood

Doctor_Van_Eyck_(Earth-616),Bob Powell

Donald_Birch_(Earth-616),Don Heck

Donald_Blake_(Earth-616),Larry Lieber

Donald_Blake_(Earth-616),Jack Kirby

Donald_Blake_(Earth-70766),John Buscema

Donald_Grant_(Earth-616),Al Hartley

Donald_Jones_(Earth-616),H.E. Huntley

Donald_Jones_(Earth-616),Don Heck

Donna_Garth_(Earth-616),Bill Everett

Don_Hammond_(Earth-616),Al Hartley

Don_Hertz_(Earth-616),Jack Keller

Don_Reinman_(Earth-616),Mike Sekowsky

Don_Wilson_(Earth-616),Don Heck

Doombot,Jack Kirby

Doomsday_Man_(Earth-616),John Buscema

Doomstadt,Jack Kirby

Doormat_Noonan_(Earth-616),Al Hartley

Dora_Livingstone_(Earth-616),Al Gabriele

